Equipe;Jogador;Jogos;Passe certo;Finalização certa;Desarme certo;Cruzamento certo;Interceptação certa;Dribles;Virada de jogo certa;Gols;Assistência gol;Assistência finalização;Defesa;Defesa difícil;Rebatida;Falta cometida;Falta recebida;Impedimentos;Pênaltis sofridos;Pênaltis cometidos;Perda da posse de bola;Cartão amarelo;Cartão vermelho
juventude;Guilherme Parede;16;102;7;4;3;0;3;0;2;1;7;1;0;11;8;7;1;0;0;25;3;0
sao-paulo;Luan;6;101;1;2;0;1;0;0;1;0;0;0;0;4;1;0;0;0;0;4;1;0
santos;Rwan Seco;17;101;10;5;0;4;8;0;2;1;7;1;0;5;11;14;2;0;0;39;1;0
internacional;Thauan Lara;7;101;2;4;2;1;0;0;0;0;1;0;0;15;6;6;0;0;0;11;2;0
bragantino;Bruno Tubarão;9;101;4;6;4;2;1;2;0;0;5;0;0;7;4;3;1;0;0;21;0;0
botafogo;Joel Carli;5;100;0;1;0;2;0;0;0;1;1;2;0;39;3;1;0;0;0;0;3;0
palmeiras;Breno Lopes;23;100;6;3;2;1;4;2;1;0;6;0;0;4;5;8;3;1;0;14;2;0
ceara;Iury Castilho;13;100;3;7;4;1;8;1;0;1;5;0;0;6;11;23;6;1;0;36;3;0
bragantino;Renan;4;98;0;6;0;2;0;0;0;0;0;2;0;25;2;1;0;0;0;6;1;0
avai;Pablo Dyego;10;98;2;6;1;5;5;0;0;0;2;2;0;13;7;13;0;0;0;20;1;0
cuiaba;Éverton;7;98;1;7;2;2;1;0;1;0;2;0;0;7;12;13;1;0;0;16;2;0
palmeiras;Kuscevic;5;96;1;4;0;3;0;0;0;1;0;2;0;13;0;3;1;0;0;2;0;0
cuiaba;João Carlos;11;96;0;0;0;0;0;0;0;0;0;24;11;8;0;1;0;0;0;0;1;0
palmeiras;Bruno Tabata;13;95;0;3;6;0;2;3;0;1;8;1;0;3;8;7;0;0;0;21;0;0
avai;Felipe Silva;3;95;2;4;0;2;0;0;1;0;1;3;0;25;0;0;0;0;0;1;0;0
flamengo;Guillermo Varela;5;94;0;5;0;1;2;0;0;0;1;1;0;16;1;6;0;0;0;9;0;0
juventude;Rafinha;11;94;3;4;1;2;4;0;0;0;4;0;0;4;4;1;0;0;0;22;0;0
avai;Matheus Galdezani;6;94;0;9;0;0;4;2;0;0;3;1;0;5;10;4;0;0;0;13;3;0
juventude;Edinho;10;93;0;1;4;1;9;0;0;0;8;0;0;3;4;7;0;0;0;17;0;0
avai;Rômulo;13;93;5;3;1;3;4;0;0;0;3;1;0;1;6;10;0;0;0;21;0;0
cuiaba;Cristhian Rivas;5;93;1;3;1;2;0;1;0;0;3;0;0;2;3;0;0;0;0;0;2;0
santos;Bryan Angulo;16;90;5;4;0;1;1;0;2;1;5;1;0;3;2;7;4;0;0;14;0;0
goias;Apodi;18;89;4;10;4;3;2;0;1;1;3;3;0;10;22;15;2;1;0;34;3;0
goias;Renato Júnior;17;89;1;10;1;3;6;0;0;1;6;0;0;6;13;10;1;0;0;33;4;0
botafogo;Matheus Nascimento;23;85;5;8;0;1;5;0;0;0;8;0;0;11;11;10;1;1;0;49;1;0
fortaleza;Matheus Vargas;11;84;4;2;0;2;6;1;0;0;4;2;0;5;11;11;3;0;0;22;2;0
bragantino;Ytalo;11;84;6;4;1;3;0;0;3;0;4;0;0;8;2;6;0;0;0;7;0;0
goias;Sidimar;5;83;0;3;0;1;0;0;0;0;0;4;0;36;2;4;0;0;0;2;0;0
avai;Paolo Guerrero;10;82;4;1;0;0;3;0;0;0;5;0;0;3;11;6;2;0;0;36;2;0
cuiaba;Gabriel Pirani;13;82;2;4;4;3;1;0;1;0;10;0;0;2;5;4;1;0;0;22;1;0
corinthians;Paulinho;3;81;1;1;1;0;2;1;1;0;1;2;0;6;2;1;0;0;0;8;0;0
sao-paulo;Emiliano Rigoni;11;81;0;5;10;0;3;5;0;0;5;0;0;1;6;3;0;0;0;22;0;0
athletico-pr;Bryan García;7;81;0;3;0;1;2;3;0;1;4;0;0;7;5;4;0;0;0;13;2;0
avai;Raphael Rodrigues;3;80;0;0;0;0;0;0;0;0;0;2;0;11;0;1;0;0;0;1;0;0
juventude;Vitor Gabriel;22;79;14;6;2;0;5;0;2;0;9;0;0;17;31;12;3;0;0;41;6;0
avai;Vitinho Alves;8;78;4;4;0;1;7;0;0;1;2;0;0;3;5;18;1;0;0;22;2;0
avai;Dentinho;10;78;2;5;1;0;6;0;0;0;6;1;0;4;7;10;0;1;0;19;4;0
avai;Glédson;5;76;0;0;0;0;1;0;0;0;0;10;2;1;0;3;0;0;0;0;2;0
atletico-go;Rhaldney;7;75;0;7;0;0;1;2;0;0;1;0;0;7;5;2;0;0;0;5;1;0
botafogo;Luis Henrique;10;74;1;0;1;1;2;1;0;0;3;0;0;2;4;3;2;0;0;19;1;0
palmeiras;Rafael Navarro;23;74;6;22;0;0;1;1;0;0;3;1;0;2;35;12;6;0;0;44;0;0
botafogo;Kayque;6;73;3;3;3;2;5;0;1;0;6;0;0;1;8;11;1;0;0;12;3;0
botafogo;Gustavo Sauer;9;73;3;5;1;2;1;1;0;0;5;0;0;1;5;4;0;0;0;10;1;0
atletico-mg;Diego Godín;1;73;0;1;0;2;0;0;0;0;0;0;0;8;2;2;0;0;0;0;0;0
fortaleza;Valentín Depietri;16;73;1;4;2;2;2;0;0;0;6;0;0;3;7;2;0;0;0;16;0;0
corinthians;Giovane;10;72;2;3;1;1;8;1;0;0;5;0;0;2;8;4;1;1;0;20;2;0
palmeiras;Manuel López;12;72;11;3;0;3;4;3;2;0;7;1;0;4;7;6;7;0;0;22;3;0
bragantino;Jan Hurtado;13;72;6;3;0;2;0;0;0;0;8;1;0;1;23;5;3;0;0;32;0;0
bragantino;Werik Popó;9;72;6;3;2;2;1;0;3;0;3;0;0;9;15;6;1;0;0;32;5;0
ceara;Matheus Peixoto;13;72;5;4;0;1;2;1;0;1;5;0;0;5;7;10;4;0;0;14;0;0
flamengo;Diego Alves;5;71;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0
palmeiras;Marcelo Lomba;3;71;0;0;0;0;0;0;0;0;0;9;3;5;0;1;0;0;0;0;1;0
goias;Pedinho;14;71;0;15;2;1;1;1;0;1;2;0;0;7;5;6;1;0;0;21;1;0
fortaleza;Rómulo Otero;7;69;9;1;9;0;3;0;1;1;5;0;0;1;5;11;1;0;0;14;0;0
fluminense;Marlon;3;68;0;4;4;1;0;1;0;0;2;1;0;20;6;1;0;0;0;7;0;0
internacional;Igor Gomes;3;66;0;1;1;0;0;0;0;0;0;1;0;7;0;2;0;0;1;0;0;0
ceara;Jhon Vasquez;13;66;5;6;3;0;1;1;0;0;1;0;0;5;9;11;4;0;0;16;2;0
atletico-go;Peglow;6;66;2;4;5;1;0;1;0;1;4;0;0;5;3;5;1;0;0;18;1;0
atletico-go;Lucas Lima;7;66;0;2;1;0;2;0;0;0;1;0;0;3;4;2;0;0;0;9;0;0
internacional;Wesley;8;65;3;0;0;0;1;0;0;0;7;0;0;3;6;6;3;0;0;13;1;0
fortaleza;Habraão;5;65;2;1;0;2;0;0;1;0;0;6;0;22;5;4;0;0;1;1;0;0
america-mg;Gonzalo Mastriani;11;63;5;4;0;0;3;0;1;1;4;0;0;5;9;6;1;1;0;30;1;0
palmeiras;Gustavo Garcia;4;62;0;3;0;1;0;1;0;0;0;0;0;6;0;1;0;0;0;2;1;0
america-mg;Wellington Paulista;19;62;6;1;0;0;0;0;2;0;2;0;0;3;12;7;4;0;0;12;1;0
coritiba;Rafael William;6;61;0;0;0;0;1;0;0;1;0;24;1;11;0;0;0;0;1;0;1;0
athletico-pr;Marlos;6;61;1;1;3;1;0;2;0;0;4;0;0;0;1;2;0;0;0;7;0;0
sao-paulo;Thiago Couto;3;59;0;0;0;0;0;0;0;0;1;10;1;3;0;0;0;0;1;0;1;0
sao-paulo;Beraldo;3;59;0;2;0;0;1;1;0;0;0;0;0;8;1;1;0;0;0;1;0;1
coritiba;José Hugo;13;59;4;8;2;2;2;1;1;0;4;0;0;0;7;15;1;0;0;50;0;0
juventude;Paulinho Moccelin;9;59;2;10;3;2;3;2;0;1;4;0;0;10;13;8;2;0;0;16;2;2
botafogo;Danilo Barbosa;6;58;1;3;0;1;2;0;0;0;2;2;0;15;4;4;0;0;0;3;1;0
corinthians;Xavier;5;58;0;2;0;0;0;0;0;0;2;0;0;15;2;0;0;0;0;4;1;0
sao-paulo;André Anderson;10;58;2;6;0;0;2;0;0;0;0;0;0;1;10;7;0;1;0;15;3;0
atletico-mg;Guilherme Castilho;17;58;0;0;0;0;0;0;0;0;1;0;0;9;4;1;0;0;0;10;0;0
fluminense;Marrony;10;57;1;7;0;1;1;0;0;0;2;0;0;4;4;11;0;0;0;9;1;1
coritiba;Matheus Cadorini;10;57;5;1;0;1;1;0;2;0;2;0;0;4;2;2;1;0;0;13;1;0
fortaleza;Max Walef;5;56;0;0;0;0;1;0;0;0;0;11;2;4;0;0;0;0;0;0;0;0
bragantino;Gabriel Novaes;13;55;3;2;1;0;0;0;1;0;2;1;0;4;7;10;2;1;0;21;2;0
coritiba;Clayton;9;54;4;3;0;0;0;0;0;0;9;0;0;2;10;11;5;0;0;18;1;0
atletico-mg;Sávio;8;54;2;3;1;1;8;3;1;0;4;0;0;0;3;7;0;0;0;16;0;0
athletico-pr;Marcelo Cirino;11;54;1;6;2;1;2;0;0;0;6;0;0;8;4;4;5;1;0;16;1;0
corinthians;Júnior Moraes;9;53;2;3;0;2;2;0;0;0;1;1;0;2;10;5;0;0;0;26;1;0
sao-paulo;Nahuel Bustos;9;53;2;5;1;0;1;0;1;0;0;0;0;0;7;7;2;0;0;10;0;0
athletico-pr;Lucas Halter;17;53;0;0;0;2;1;0;0;0;0;0;0;12;3;1;0;0;0;1;1;0
america-mg;Arthur Augusto;7;53;0;6;2;0;1;1;0;0;0;1;0;5;11;0;0;0;0;17;2;0
juventude;Darlan;5;52;0;1;2;1;3;2;0;0;2;0;0;2;1;2;0;0;0;7;1;0
cuiaba;Marquinhos;6;52;0;9;0;3;4;0;0;1;0;0;0;2;3;10;0;0;0;16;0;0
juventude;Rômulo;4;51;1;3;2;0;0;0;1;0;2;3;0;12;1;2;0;0;0;1;1;0
avai;Vinícius Leite;4;51;1;1;1;3;0;0;0;0;2;1;0;3;1;2;0;0;0;3;0;0
cuiaba;Elton;8;51;4;3;0;0;0;0;1;0;5;0;0;3;7;5;2;0;0;9;1;0
goias;Juan Pablo;4;50;0;3;0;3;0;0;0;0;1;0;0;10;6;0;0;0;0;0;0;0
america-mg;Rodriguinho;4;50;0;4;4;1;1;2;0;0;4;0;0;1;5;5;0;0;0;4;2;0
goias;Sidnei;4;49;0;6;0;5;0;0;0;0;0;2;0;25;1;2;0;0;0;1;1;0
atletico-go;Camutanga;1;49;0;2;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
avai;Jonathan Copete;7;48;2;1;1;0;1;0;0;0;2;0;0;6;7;4;2;0;0;18;1;0
cuiaba;Lucas Cardoso;4;48;1;1;0;0;2;0;0;0;1;0;0;2;4;0;0;0;0;12;0;0
coritiba;Biel;5;47;0;3;0;1;0;0;0;0;1;0;0;1;1;4;0;0;0;5;0;0
athletico-pr;Pablo Siles;5;46;0;3;0;1;0;0;0;0;0;2;0;4;6;2;0;0;1;4;2;0
palmeiras;Fabinho;4;46;0;3;0;1;0;1;0;0;1;0;0;3;4;0;0;0;0;0;1;0
america-mg;Paulinho Bóia;4;46;4;1;5;0;7;0;0;1;7;0;0;1;6;10;4;1;0;21;0;0
ceara;Marcos Ytalo;2;46;1;3;0;2;0;0;0;0;3;0;0;7;5;3;0;0;0;5;0;0
santos;Willian Maranhão;22;45;0;4;0;1;1;0;0;0;0;2;0;8;2;0;1;0;0;1;0;0
juventude;Gabriel Tota;7;45;2;3;1;1;0;0;0;0;1;2;0;2;7;6;0;0;0;7;2;0
ceara;Léo Rafael;2;45;1;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
coritiba;Juan Díaz;4;44;0;4;0;0;0;0;0;0;0;0;0;3;2;2;0;0;0;3;0;0
athletico-pr;Pedro Rocha;19;44;0;1;4;1;4;0;0;1;3;0;0;1;1;4;2;0;0;21;0;0
internacional;D'Alessandro;1;44;1;0;1;0;1;1;1;0;4;0;0;1;0;1;0;0;0;3;1;0
internacional;Braian Romero;17;44;5;9;0;0;0;0;2;0;1;1;0;4;9;8;1;0;0;22;1;0
ceara;Diego Rigonato;7;44;2;3;0;3;1;0;0;0;1;0;0;7;4;6;0;0;0;3;1;0
corinthians;Jô;15;43;3;1;1;1;0;0;1;0;2;0;0;7;4;5;1;0;0;6;1;0
fluminense;Michel Araújo;8;43;2;4;2;0;2;0;2;3;0;0;0;0;1;5;0;0;0;6;1;0
atletico-go;Ricardinho;6;42;2;0;1;0;0;0;0;0;1;0;0;0;4;3;2;0;0;13;2;0
atletico-go;Luan Polli;2;42;0;0;0;0;0;0;0;0;0;6;3;4;0;1;0;0;0;0;0;0
goias;Danilo Cardoso;5;41;2;1;0;2;0;0;1;0;0;3;0;14;3;1;0;0;0;1;0;0
avai;Diego Matos;3;40;0;2;0;0;0;0;0;0;0;1;0;9;2;0;0;0;0;4;2;1
fortaleza;Vitor Ricardo;2;38;0;5;1;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;1;0
botafogo;Lucas Perri;4;37;0;0;0;0;0;0;0;0;0;6;5;8;0;0;0;0;0;0;1;0
goias;Henrique Lordelo;5;37;0;7;0;0;0;1;0;0;0;1;0;3;9;2;0;0;0;1;2;1
internacional;Boschilia;12;36;0;3;0;0;2;0;0;1;3;0;0;2;3;2;0;0;0;5;1;0
botafogo;Jonathan Silva;1;35;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
palmeiras;Miguel Merentiel;9;35;3;0;0;0;2;1;2;0;3;0;0;0;2;1;1;0;0;10;0;0
internacional;Estevão;8;35;1;1;0;1;0;0;0;0;2;0;0;0;2;3;0;0;0;3;0;0
santos;Kaiky;1;34;0;0;0;0;1;0;0;0;0;0;0;6;0;3;0;0;0;0;0;0
juventude;Bruninho;5;34;1;0;2;0;7;0;0;0;0;0;0;0;4;5;0;0;0;6;0;0
bragantino;Welliton;6;34;0;2;2;1;6;1;0;0;2;0;0;2;0;2;0;0;0;10;0;0
fluminense;David Duarte;4;33;0;1;0;1;0;0;0;0;0;1;0;13;2;0;0;0;0;1;2;0
atletico-mg;Savarino;3;33;3;2;0;0;3;0;2;0;1;0;0;0;0;2;0;0;0;5;0;0
juventude;Ruan;11;33;1;3;0;1;5;0;0;0;1;0;0;1;3;6;0;0;0;13;1;0
fluminense;Fred;6;32;3;0;0;0;1;0;1;0;1;0;0;4;2;0;0;0;0;6;1;0
coritiba;Márcio Silva;2;32;0;1;0;0;0;1;0;0;0;4;0;14;0;3;0;0;0;2;0;0
athletico-pr;Lucas Fasson;1;32;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0
atletico-go;Diego Loureiro;4;32;0;0;0;0;0;0;0;0;0;7;1;0;0;1;0;0;0;0;0;0
coritiba;Neílton;4;31;1;1;1;1;0;0;0;0;3;0;0;1;1;2;0;0;0;4;1;0
bragantino;Nathan;5;31;0;3;0;0;0;0;0;0;0;0;0;4;3;1;0;0;0;5;1;0
athletico-pr;Anderson Paixão;5;30;0;0;0;0;1;0;0;0;0;18;3;10;0;1;0;0;0;1;1;0
internacional;Matheus Dias;2;30;1;4;0;0;0;0;0;0;1;3;0;3;1;2;0;0;0;0;0;0
bragantino;Guilherme Lopes;2;30;0;2;0;1;4;0;0;0;1;0;0;5;2;3;0;0;0;3;0;0
juventude;Dudu;2;29;0;1;1;1;0;0;0;0;0;0;0;4;3;1;0;0;0;3;0;0
corinthians;João Pedro;2;28;0;2;0;0;0;1;0;0;0;3;0;13;1;0;0;0;0;2;1;0
juventude;Pará;3;28;0;0;0;0;0;0;0;0;0;1;0;4;2;0;0;0;0;2;1;0
corinthians;Guilherme Biro;2;27;2;3;1;0;1;0;0;0;1;0;0;0;3;1;0;0;0;3;1;0
corinthians;Matheus Donelli;3;27;0;0;0;0;0;0;0;0;0;6;2;2;0;0;0;0;0;1;0;0
sao-paulo;Rodriguinho;3;27;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;4;0;0
atletico-mg;Alan Kardec;12;27;5;2;0;0;0;0;2;0;0;0;0;2;6;4;0;0;0;8;0;0
internacional;Weverton Silva;1;27;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
ceara;Kelvyn;2;27;0;1;1;0;1;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0
botafogo;Jacob Montes;3;26;0;1;0;1;1;0;0;0;3;1;0;0;0;1;0;0;0;8;0;0
flamengo;Mateusão;8;26;0;1;0;0;0;0;0;0;2;0;0;6;2;3;1;1;0;7;1;0
internacional;Lucas Ramos;9;25;1;1;0;1;1;1;0;0;0;0;0;3;1;4;0;0;0;3;1;0
juventude;Anderson Leite;2;25;0;2;1;2;0;0;0;0;2;2;0;3;3;1;0;0;0;0;0;0
botafogo;Diego Loureiro;4;24;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0;0;0;0;1;0
ceara;Vinícius Machado;2;23;0;0;0;0;1;0;0;0;0;4;3;1;0;0;0;0;0;0;0;0
ceara;Dentinho;5;23;0;2;0;1;0;0;0;0;0;0;0;0;5;0;1;0;0;4;0;0
fluminense;Alexandre Jesus;5;22;0;1;0;2;1;0;0;0;1;0;0;3;1;1;0;0;0;6;0;0
juventude;Renato Chaves;2;22;2;0;0;1;0;1;0;0;0;1;0;10;1;0;0;0;0;1;0;0
bragantino;Lucão;1;22;0;0;0;0;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0
coritiba;Hernán Pérez;2;20;1;1;0;1;0;0;0;0;1;1;0;2;5;2;0;0;0;5;1;0
palmeiras;Endrick;7;20;10;4;1;1;2;0;3;1;4;0;0;0;9;4;4;0;0;14;1;0
avai;Lucas Silva;6;19;0;0;0;0;1;0;0;0;1;0;0;0;1;6;0;0;0;9;0;0
ceara;Wescley;2;19;0;4;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;4;0;0
atletico-go;Rickson;8;19;0;1;0;1;0;0;0;0;1;0;0;2;2;3;1;0;0;4;1;0
corinthians;Carlos Miguel;2;18;0;0;0;0;0;0;0;0;0;6;2;2;0;0;0;0;0;0;0;0
atletico-mg;Fábio;5;18;1;1;0;0;1;0;0;0;2;0;0;0;1;1;0;0;0;7;0;0
santos;Miguelito;2;18;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0
juventude;Vitor Leque;2;18;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;3;2;1
bragantino;Douglas Mendes;1;18;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;1;0;0;0
america-mg;Flávio;2;18;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
botafogo;Douglas Borges;1;17;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
goias;Luan;2;17;0;0;1;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;1;0
juventude;Felipe Alves;18;17;0;0;0;0;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0
fortaleza;Renato Kayzer;6;17;3;1;0;1;1;1;0;0;1;0;0;1;3;3;0;0;0;3;0;0
ceara;Richard Costa;1;17;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2;0
corinthians;Léo Maná;1;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fluminense;John Kennedy;6;16;3;1;2;0;3;0;0;0;2;0;0;0;5;1;0;0;0;16;3;0
fortaleza;Fabrício Baiano;5;16;0;3;0;1;2;0;0;0;0;0;0;4;1;1;0;0;0;7;0;0
botafogo;Douglas DG;1;15;0;0;1;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0;1;0
atletico-mg;Rafael;1;15;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
athletico-pr;João Vialle;1;15;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
santos;Tailson;3;15;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
palmeiras;Kaiky Naves;2;15;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0
internacional;Caio;7;15;0;1;0;2;1;0;0;0;0;0;0;1;8;9;1;0;0;13;1;0
flamengo;Kayke David;2;14;0;0;1;1;0;0;0;0;1;0;0;0;1;3;0;0;0;4;0;0
santos;Vinicius Balieiro;5;14;0;1;0;1;0;0;0;0;1;1;0;9;2;2;0;0;0;1;0;0
athletico-pr;Matheus Babi;6;13;0;0;0;0;0;0;0;0;4;0;0;2;6;4;1;0;0;6;1;0
palmeiras;Vinicius Silvestre;1;12;0;0;0;0;0;0;0;0;0;5;0;4;0;0;0;0;0;0;0;0
avai;Nathan;7;12;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;4;0;0
botafogo;Barreto;2;11;0;2;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
botafogo;Klaus;11;11;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0
sao-paulo;Gabriel Sara;1;11;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0
sao-paulo;Juan;2;11;1;2;0;0;2;0;1;0;1;0;0;2;2;1;3;0;0;7;0;0
juventude;Da Rocha;1;11;0;3;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0
america-mg;Carlos Alberto;6;11;4;2;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;12;1;0
cuiaba;Rikelme;1;11;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
flamengo;Matheus Gonçalves;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0
sao-paulo;Marquinhos;1;10;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
santos;Marcos Guilherme;17;10;0;2;1;0;0;0;0;0;0;1;0;2;1;0;0;0;0;1;0;0
santos;Gabriel Pirani;13;10;1;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;3;0;0
palmeiras;Giovani;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0
internacional;Matheus Cadorini;10;10;2;1;0;0;0;0;0;0;0;0;0;1;3;2;0;0;0;8;0;1
bragantino;Bruninho;2;10;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0
bragantino;Weverson;1;10;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
ceara;Caio Rafael;1;10;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
ceara;João Victor;3;10;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
corinthians;Leo Natel;1;9;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0
flamengo;Marcos Paulo;1;9;0;1;0;1;0;0;0;0;1;1;0;1;2;0;0;0;0;0;1;0
atletico-mg;Yan Phillipe;1;9;0;0;0;1;1;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0
goias;Douglas Pelé;2;9;0;2;1;1;1;0;0;0;2;0;0;1;0;2;0;0;0;6;0;0
avai;Gustavo Santos;1;9;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0
sao-paulo;Patryck;1;8;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
sao-paulo;Jonas Toró;1;8;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0
palmeiras;Jaílson;2;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
juventude;Lucas Ramires;1;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0
america-mg;Juninho Valoura;1;8;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
america-mg;Airton;1;8;0;0;0;0;1;0;0;0;0;7;0;2;0;0;0;0;0;0;1;0
corinthians;Wesley Teixeira;2;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0
flamengo;André Luiz;1;7;2;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;4;0;0
santos;Derick;1;7;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
flamengo;Werton;2;6;1;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;2;0;0
avai;Gaspar;3;6;1;2;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;4;0;0
cuiaba;Vinicius Boff;1;6;0;0;0;1;1;0;0;1;0;0;0;2;1;0;0;0;0;2;0;0
flamengo;Petterson Novaes;2;5;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
santos;John Victor;1;5;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
goias;Luiz Filipe;2;5;0;2;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;4;1;0
internacional;Gustavo Maia;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fortaleza;Igor Torres;4;5;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;3;1;0
bragantino;Guilherme Santos;2;5;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0
america-mg;Gustavo Marques;1;5;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0
avai;Gabriel Kazu;1;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
avai;Felipinho;2;5;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;7;0;0
atletico-go;Gabriel Noga;1;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
flamengo;Igor Jesus;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
fluminense;Alan;4;4;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2;0;0
america-mg;Kawê;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;3;0;0
avai;Vinícius Jaú;1;4;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
ceara;Daniel Mazerochi;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
botafogo;Rikelmi;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
corinthians;Felipe Augusto;3;3;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;5;0;0
flamengo;Pedrinho Fonseca;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
athletico-pr;John Mercado;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
palmeiras;Pedro Bicalho;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
juventude;Guilherme Gehring;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
juventude;Kelvi;1;3;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;2;0;0
avai;Andrey;1;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
ceara;Wendell Junior;1;3;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
botafogo;Daniel Cruz;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
