Equipe;Jogador;Jogos;Passe certo;Finalização certa;Desarme certo;Cruzamento certo;Interceptação certa;Dribles;Virada de jogo certa;Gols;Assistência gol;Assistência finalização;Defesa;Defesa difícil;Rebatida;Falta cometida;Falta recebida;Impedimentos;Pênaltis sofridos;Pênaltis cometidos;Perda da posse de bola;Cartão amarelo;Cartão vermelho
ceara;Gabriel Lacerda;26;585;0;16;1;4;1;6;0;0;1;14;0;171;15;3;0;0;1;8;4;0
cuiaba;Camilo;24;584;2;28;2;7;4;5;0;0;7;6;0;70;22;11;0;0;0;29;3;0
coritiba;Matheus Alexandre;21;569;0;35;15;14;7;5;0;0;11;7;0;59;18;5;1;0;0;20;5;0
athletico-pr;Hugo Moura;25;564;6;34;1;14;5;14;1;0;10;4;0;56;29;19;1;0;2;30;5;1
botafogo;Philipe Sampaio;16;561;0;12;0;5;1;1;0;0;0;16;0;127;18;8;2;0;1;4;4;2
cuiaba;Uendel;16;561;2;9;14;6;2;1;1;1;14;1;0;52;10;7;0;0;0;20;0;0
flamengo;Gabriel;29;554;28;4;18;2;6;6;11;1;31;0;0;2;10;18;17;1;0;55;11;1
avai;Rafael Vaz;18;554;4;13;2;3;2;6;0;0;3;17;0;126;6;6;0;0;1;6;2;0
america-mg;Felipe Azevedo;36;553;19;27;12;9;16;10;4;1;35;0;0;32;34;32;3;0;0;122;3;1
bragantino;Jadsom Silva;29;548;0;17;0;13;2;5;0;1;11;7;0;46;27;10;0;0;0;29;8;0
america-mg;Everaldo;29;548;20;26;28;10;21;4;4;2;37;1;0;6;31;51;4;0;0;85;6;0
sao-paulo;Igor Vinícius;23;543;2;37;18;7;15;1;1;2;17;3;0;28;16;12;0;0;0;53;2;0
corinthians;Fagner;17;539;0;26;16;4;12;0;0;2;10;3;0;34;15;10;2;0;0;11;3;0
ceara;Messias;25;539;4;11;1;6;1;2;0;0;4;17;0;223;22;7;0;0;1;4;4;0
avai;William Pottker;27;537;16;16;12;6;22;7;3;1;30;0;0;23;23;46;13;4;1;147;6;0
sao-paulo;Reinaldo;28;536;5;14;39;7;9;12;3;5;34;0;0;40;16;12;1;0;0;53;3;0
bragantino;Kevin Lomónaco;16;529;0;17;1;3;5;8;0;0;6;7;0;63;14;9;1;0;0;9;3;0
athletico-pr;Erick;31;528;8;43;1;13;4;7;3;0;11;12;0;56;30;15;0;0;0;37;2;0
corinthians;Adson;25;525;8;33;4;9;23;0;3;0;12;0;0;14;25;20;3;0;0;76;2;0
corinthians;Bruno Méndez;24;522;1;29;0;8;4;1;0;1;1;8;0;80;9;5;1;0;0;12;1;1
athletico-pr;Nicolás Hernández;20;520;0;29;0;8;1;7;0;0;2;16;0;113;19;5;0;0;0;4;3;0
santos;João Paulo;37;518;0;1;0;0;4;1;0;0;0;98;36;52;0;7;0;0;0;1;5;0
palmeiras;Luan;16;515;0;15;1;6;0;5;0;2;3;8;0;92;21;10;1;0;0;8;2;0
coritiba;Egídio;21;513;8;21;27;13;3;7;1;2;20;2;0;44;12;18;2;0;1;30;1;1
santos;Lucas Braga;33;513;20;20;13;7;43;2;5;1;17;0;0;29;24;70;4;0;0;100;3;0
sao-paulo;Miranda;15;510;2;19;0;5;4;0;0;0;1;7;0;105;14;9;0;0;0;6;4;0
fluminense;Matheus Martins;30;507;13;15;10;9;19;4;3;5;14;1;0;8;19;41;14;2;0;105;2;0
corinthians;Cássio;34;506;0;1;0;0;0;0;0;0;0;84;26;47;0;6;0;0;0;1;2;0
america-mg;Raúl Cáceres;26;506;3;25;24;6;1;1;1;2;19;5;0;87;22;6;3;0;0;19;1;0
internacional;Mauricio;32;498;14;11;14;6;7;2;6;5;28;0;0;19;7;29;3;0;0;44;2;0
coritiba;Alef Manga;35;495;36;39;20;7;35;13;9;5;42;1;0;19;31;20;24;0;0;98;13;1
flamengo;Diego;19;494;2;16;4;5;4;5;1;0;6;5;0;23;19;19;1;0;1;17;3;0
goias;Maguinho;31;492;1;29;12;8;18;1;0;0;13;6;0;95;42;20;2;1;1;59;10;0
avai;Jean Pyerre;23;491;3;4;1;2;4;1;1;0;8;0;0;2;4;13;1;0;0;21;2;0
flamengo;Filipe Luís;10;489;0;15;7;9;4;8;0;0;8;1;0;13;7;10;0;0;0;9;1;0
botafogo;Adryelson;17;488;4;9;0;6;0;3;0;0;2;11;0;181;10;4;2;0;0;4;1;0
flamengo;Rodinei;16;485;2;20;6;4;12;0;0;1;6;3;0;24;4;11;0;0;0;37;0;1
atletico-mg;Jemerson;12;485;1;15;0;1;0;2;0;0;3;3;0;65;22;5;1;0;0;5;6;0
atletico-go;Shaylon;28;485;13;11;30;3;7;3;3;0;27;1;0;19;14;4;2;0;0;33;3;0
coritiba;Jesus Trindade;17;484;3;26;18;5;2;5;0;1;16;4;0;21;12;7;0;0;0;27;3;0
coritiba;Natanael;25;481;0;38;11;7;7;2;0;2;9;7;0;61;23;25;0;0;0;49;3;0
flamengo;Willian Arão;14;479;6;7;1;8;1;9;2;0;6;9;0;41;12;6;0;0;0;6;1;0
juventude;Moraes;19;479;7;24;12;19;10;0;1;2;8;5;0;53;12;15;3;0;0;54;4;0
ceara;João Ricardo;35;478;0;1;0;0;0;1;0;0;2;107;14;63;0;1;0;0;0;3;5;0
coritiba;Bruno Gomes;18;477;4;31;5;9;6;5;1;0;15;6;0;26;29;48;0;0;0;58;3;0
ceara;Stiven Mendoza;29;471;37;15;17;7;32;10;10;1;34;0;0;10;29;55;13;0;0;126;6;0
bragantino;Helinho;31;470;15;20;18;12;17;2;4;1;29;1;0;29;36;21;4;0;0;90;8;0
athletico-pr;David Terans;31;468;33;10;34;3;20;8;12;4;34;0;0;8;23;22;7;0;0;99;3;0
palmeiras;Gabriel Menino;27;468;8;25;13;5;4;8;2;1;17;1;0;29;13;19;1;0;0;35;3;1
corinthians;Fabián Balbuena;13;467;5;13;0;7;1;0;3;0;1;9;0;119;7;4;0;0;1;4;2;0
athletico-pr;Thiago Heleno;13;463;1;8;0;8;0;4;0;0;4;13;0;76;10;4;0;0;0;3;4;1
atletico-go;Hayner;19;463;2;12;14;10;25;5;0;2;16;3;0;74;28;32;7;1;0;51;8;1
athletico-pr;Matheus Felipe;23;462;4;26;1;7;0;3;2;0;5;16;0;146;21;5;0;0;0;8;3;0
atletico-go;Willian Maranhão;22;456;0;17;2;3;1;11;0;0;9;13;0;62;23;11;1;0;1;17;7;1
fortaleza;Caio Alexandre;12;453;1;29;1;5;0;1;1;0;8;2;0;23;24;12;0;0;0;18;3;1
juventude;Elton;18;450;1;19;0;9;2;6;0;1;9;6;0;42;25;10;1;0;0;18;5;0
sao-paulo;Luizão;14;449;2;16;1;5;0;3;1;0;2;8;0;79;11;4;0;0;0;4;5;0
america-mg;Germán Conti;23;449;3;15;0;6;0;3;0;0;2;17;0;205;15;2;0;0;0;4;1;0
fortaleza;Emanuel Brítez;20;446;2;36;2;8;3;2;1;3;8;7;0;130;38;12;4;0;0;12;1;0
avai;Vladimir;23;444;0;1;0;0;0;0;0;0;0;51;28;18;0;2;0;0;1;0;3;0
botafogo;Victor Sá;27;441;7;28;8;8;23;7;2;0;37;2;0;13;19;33;3;0;0;90;3;0
botafogo;Luís Oyama;16;440;2;26;3;11;8;5;0;0;10;2;0;21;22;21;0;0;0;34;1;0
atletico-go;Lucas Gazal;15;440;3;5;2;2;1;7;1;0;1;10;0;114;19;2;1;0;0;2;1;1
atletico-mg;Keno;29;436;19;29;27;5;43;10;4;1;42;2;0;11;21;30;6;0;0;104;5;0
internacional;Rodrigo Moledo;20;435;6;26;1;5;0;0;0;0;2;15;0;118;10;12;1;1;0;11;3;0
goias;Auremir;25;433;2;29;0;6;1;1;0;0;4;6;0;57;35;16;0;0;0;28;5;0
fortaleza;Lucas Lima;22;433;5;12;28;3;2;7;0;2;29;2;0;1;20;23;3;1;0;47;4;0
fluminense;Yago Felipe;21;432;8;19;9;9;2;5;0;0;13;5;0;19;15;32;4;0;0;58;3;0
cuiaba;Igor Cariús;17;431;0;19;10;14;2;2;0;0;6;5;0;66;22;13;1;0;0;26;6;1
sao-paulo;Jonathan Calleri;36;428;41;14;3;4;9;2;18;2;28;1;0;42;42;68;28;0;1;164;5;0
flamengo;Victor Hugo;21;427;7;14;3;5;10;3;2;3;13;5;0;24;6;13;1;0;0;38;1;0
avai;Lucas Ventura;21;425;4;30;0;2;1;1;0;0;8;2;0;29;24;26;0;0;1;28;5;0
ceara;Fernando Sobral;23;425;9;19;0;4;5;12;1;0;6;4;0;25;14;15;0;0;0;24;2;0
ceara;Michel Macedo;17;425;2;15;4;4;2;1;0;1;5;5;0;48;12;14;1;0;0;18;2;0
athletico-pr;Pedrinho;21;424;1;17;10;10;8;6;0;2;17;2;0;64;20;8;1;0;0;47;4;0
atletico-go;Arthur Henrique;22;422;0;24;9;6;8;1;0;0;13;3;0;40;13;10;0;0;0;37;0;1
bragantino;Eric Ramires;25;420;4;28;3;1;7;3;1;0;11;0;0;29;17;10;0;1;1;47;1;2
coritiba;Robinho;19;419;1;16;11;2;2;6;0;2;25;0;0;5;13;14;2;0;0;26;2;0
athletico-pr;Tomás Cuello;31;418;11;33;8;7;16;8;2;4;25;2;0;18;27;35;6;0;0;100;4;1
fortaleza;Hércules;28;418;12;26;4;9;4;5;4;1;14;2;0;25;17;11;1;0;0;33;1;0
atletico-go;Diego Churín;36;418;24;31;3;6;4;8;7;0;23;1;0;23;49;52;5;0;0;90;6;0
goias;Dadá Belmonte;33;417;14;36;25;7;30;11;2;6;29;4;0;31;52;71;3;0;0;127;10;1
internacional;Wanderson;26;417;20;5;13;1;25;0;6;3;21;0;0;5;18;17;3;0;0;68;3;0
corinthians;Robert Renan;10;416;0;15;0;6;5;3;0;0;0;4;0;90;6;3;0;0;0;9;2;0
fortaleza;Felipe;12;413;0;17;0;6;1;6;0;1;10;1;0;26;14;14;0;0;0;16;2;1
goias;Fellipe Bastos;25;410;10;17;14;5;8;2;0;2;18;3;0;36;20;14;0;0;1;15;10;1
fluminense;Nathan;24;408;12;14;11;0;1;0;2;2;13;0;0;12;16;10;1;0;0;36;3;0
fortaleza;Tinga;17;408;5;23;6;7;8;2;0;2;13;6;0;91;15;9;1;0;0;20;3;0
atletico-mg;Eduardo Vargas;24;406;16;8;1;6;13;10;5;3;15;1;0;4;14;17;6;0;0;72;2;0
corinthians;Maycon;16;405;0;9;12;7;2;9;0;0;10;1;0;20;11;6;0;0;0;8;4;0
sao-paulo;Nahuel Ferraresi;9;404;1;24;0;3;5;0;0;0;4;5;0;56;8;11;0;0;1;4;1;1
fortaleza;Lucas Crispim;23;404;1;12;23;4;2;2;1;1;18;0;0;35;13;14;1;0;0;17;4;0
atletico-mg;Rubens;29;402;7;54;7;10;17;2;1;0;10;2;0;49;26;18;0;0;0;48;3;0
